file,geo,variable,tableid
A302100_3,cty,Total workers,A302100
A302103_3,cty,"Total, means of transportation",A302103
A302103_5,cty,"Car, truck, or van -- Drove alone",A302103
A302103_7,cty,"Car, truck, or van -- In a 2-person carpool",A302103
A302103_9,cty,"Car, truck, or van -- In a 3-person carpool",A302103
A302103_11,cty,"Car, truck, or van -- In a 4-person carpool",A302103
A302103_13,cty,"Car, truck, or van -- In a 5-or-6-person carpool",A302103
A302103_15,cty,"Car, truck, or van -- In a 7-or-more-person carpool",A302103
A302103_17,cty,Bus or trolley bus,A302103
A302103_19,cty,Streetcar or trolley car,A302103
A302103_21,cty,Subway or elevated,A302103
A302103_23,cty,Railroad,A302103
A302103_25,cty,Ferryboat,A302103
A302103_27,cty,Bicycle,A302103
A302103_29,cty,Walked,A302103
A302103_31,cty,Taxicab,A302103
A302103_33,cty,Motorcycle,A302103
A302103_35,cty,Other method,A302103
A302103_37,cty,Worked at home,A302103
B302101_3,cty,"Total, all ages 16 years and over",B302101
B302101_5,cty,16 and 17 years,B302101
B302101_7,cty,18 to 24 years,B302101
B302101_9,cty,25 to 44 years,B302101
B302101_11,cty,45 to 59 years,B302101
B302101_13,cty,60 to 64 years,B302101
B302101_15,cty,65 to 74 years,B302101
B302101_17,cty,75 years and over,B302101
B302102_3,cty,"Total, all industries",B302102
B302102_5,cty,"Agriculture, forestry, fishing and hunting, and mining; + Construction; + Armed Forces",B302102
B302102_7,cty,Manufacturing;,B302102
B302102_9,cty,"Wholesale trade; + Retail Trade; + Transportation and warehousing, and utilities",B302102
B302102_11,cty,"Information; + Finance, insurance, real estate and rental and leasing; + Professional, scientific, management, administrative, and waste management services",B302102
B302102_13,cty,"Educational, health and social services",B302102
B302102_15,cty,"Arts, entertainment, recreation, accommodation and food services",B302102
B302102_17,cty,Other services (except public administration); + Public Administration,B302102
B302104_3,cty,All workers,B302104
B302104_5,cty,Did not work at home:,B302104
B302104_7,cty,5:00 a.m. to  5:29 a.m.,B302104
B302104_9,cty,5:30 a.m. to  5:59 a.m.,B302104
B302104_11,cty,6:00 a.m. to  6:29 a.m.,B302104
B302104_13,cty,6:30 a.m. to  6:59 a.m.,B302104
B302104_15,cty,7:00 a.m. to  7:29 a.m.,B302104
B302104_17,cty,7:30 a.m. to 7:59 a.m.,B302104
B302104_19,cty,8:00 a.m. to  8:29 a.m.,B302104
B302104_21,cty,8:30 a.m. to 8:59 a.m.,B302104
B302104_23,cty,9:00 a.m. to  9:59 a.m.,B302104
B302104_25,cty,10:00 a.m. to 10:59 a.m.,B302104
B302104_27,cty,11:00 a.m. to 11:59 a.m.,B302104
B302104_29,cty,12:00 p.m. to  3:59 p.m.,B302104
B302104_31,cty,4:00 p.m. to 11:59 p.m.,B302104
B302104_33,cty,12:00 a.m. to 4:59 a.m.,B302104
B302104_35,cty,Worked at home,B302104
B302105_3,cty,Total persons,B302105
B302105_5,cty,"White alone, not Hispanic/Latino",B302105
B302105_7,cty,Other,B302105
B302106_3,cty,All workers,B302106
B302106_5,cty,Did not work at home,B302106
B302106_7,cty,Less than 5 minutes,B302106
B302106_9,cty,5 to 14 minutes,B302106
B302106_11,cty,15 to 19 minutes,B302106
B302106_13,cty,20 to 29 minutes,B302106
B302106_15,cty,30 to 44 minutes,B302106
B302106_17,cty,45 to 59 minutes,B302106
B302106_19,cty,60 to 74 minutes,B302106
B302106_21,cty,75 to 89 minutes,B302106
B302106_23,cty,90 minutes or more,B302106
B302106_25,cty,Worked at home,B302106
B303100_3,cty,"Total, household income",B303100
B303100_5,cty,"Less than $15,000",B303100
B303100_7,cty,"$15,000-$24,999",B303100
B303100_9,cty,"$25,000-$34,999",B303100
B303100_11,cty,"$35,000-$49,999",B303100
B303100_13,cty,"$50,000-$74,999",B303100
