file,geo,variable,tableid
A101100_5,puma,Total population (All persons),A101100
A101100_5,tract,Total population (All persons),A101100
A101101_5,puma,"Total, all ages",A101101
A101101_7,puma,Under 16 years,A101101
A101101_9,puma,16 and 17 years,A101101
A101101_11,puma,18 to 20 years,A101101
A101101_13,puma,21 to 24 years,A101101
A101101_15,puma,25 to 34 years,A101101
A101101_17,puma,35 to 44 years,A101101
A101101_19,puma,45 to 59 years,A101101
A101101_21,puma,60 to 64 years,A101101
A101101_23,puma,65 to 74 years,A101101
A101101_25,puma,75 years and over,A101101
A101102_5,puma,All persons,A101102
A101102_7,puma,Living in urban area,A101102
A101102_9,puma,Living in rural area,A101102
A101102_5,tract,All persons,A101102
A101102_7,tract,Living in urban area,A101102
A101102_9,tract,Living in rural area,A101102
A101103_5,puma,"Total persons, Hispanic/Latino origin",A101103
A101103_7,puma,Hispanic or Latino,A101103
A101103_9,puma,Not Hispanic or Latino,A101103
A101103_5,tract,"Total persons, Hispanic/Latino origin",A101103
A101103_7,tract,Hispanic or Latino,A101103
A101103_9,tract,Not Hispanic or Latino,A101103
A101104_5,puma,"Total, length of US residence",A101104
A101104_7,puma,"Born in the United States, Puerto Rico or the Island Areas, or Born Abroad to U.S. Citizen Parent(s)",A101104
A101104_9,puma,In the US 2 years or less,A101104
A101104_11,puma,In the US 3 to 5 years,A101104
A101104_13,puma,In the US 6 to 9 years,A101104
A101104_15,puma,In the US 10 or more years,A101104
A101104_5,tract,"Total, length of US residence",A101104
A101104_7,tract,"Born in the United States, Puerto Rico or the Island Areas, or Born Abroad to U.S. Citizen Parent(s)",A101104
A101104_9,tract,"Born in the United States, Puerto Rico or the Island Areas, or Born Abroad to U.S. Citizen Parent(s)",A101104
A101104_11,tract,In the US 3 to 5 years,A101104
A101104_13,tract,In the US 6 to 9 years,A101104
A101104_15,tract,In the US 10 or more years,A101104
A101105_5,puma,Total persons,A101105
A101105_7,puma,"White alone, not Hispanic/Latino",A101105
A101105_9,puma,Other,A101105
A101108_5,puma,All races,A101108
A101108_7,puma,White alone,A101108
A101108_9,puma,Black or African American alone,A101108
A101108_11,puma,Asian alone,A101108
