file,geo,variable,tableid,tableno
A101100_5,cty,Total population (All persons),A101100,5
A101102_5,cty,All persons,A101102,5
A101102_7,cty,Living in urban area,A101102,7
A101102_9,cty,Living in rural area,A101102,9
A101103_5,cty,"Total persons, Hispanic/Latino origin",A101103,5
A101103_7,cty,Hispanic or Latino,A101103,7
A101103_9,cty,Not Hispanic or Latino,A101103,9
A101104_5,cty,"Total, length of US residence",A101104,5
A101104_7,cty,"Born in the United States, Puerto Rico or the Island Areas, or Born Abroad to U.S. Citizen Parent(s)",A101104,7
A101104_9,cty,In the US 2 years or less,A101104,9
A101104_11,cty,In the US 3 to 5 years,A101104,11
A101104_13,cty,In the US 6 to 9 years,A101104,13
A101104_15,cty,In the US 10 or more years,A101104,15
A101108_5,cty,All races,A101108,5
A101108_7,cty,White alone,A101108,7
A101108_9,cty,Black or African American alone,A101108,9
A101108_11,cty,Asian alone,A101108,11
A101108_13,cty,"All Other, i.e., 2 or more races, Native Hawaiian or Pacific Islander, American Indian or Alaska Native, Other race",A101108,13
A101109_5,cty,"Total, school enrollment",A101109,5
A101109_7,cty,"Enrolled in nursery school, preschool, or kindergarten",A101109,7
A101109_9,cty,Enrolled in grade 1 to grade 8,A101109,9
A101109_11,cty,Enrolled in grade 9 to grade 12,A101109,11
A101109_13,cty,"Enrolled in college, graduate, or professional school",A101109,13
A101109_15,cty,Age 3 and over and not enrolled,A101109,15
A101109_17,cty,Age under 3,A101109,17
A102101_5,cty,Workers 16 and over,A102101,5
A102104_5,cty,"Total, workers' earnings in the past 12 months",A102104,5
A102104_7,cty,"$1 to $9,999 or loss",A102104,7
A102104_9,cty,"$10,000 to $14,999",A102104,9
A102104_11,cty,"$15,000 to $24,999",A102104,11
A102104_13,cty,"$25,000 to $34,999",A102104,13
A102104_15,cty,"$35,000 to $49,999",A102104,15
A102104_17,cty,"$50,000 to $64,999",A102104,17
A102104_19,cty,"$65,000 to $74,999",A102104,19
A102104_21,cty,"$75,000 to $99,999",A102104,21
A102104_23,cty,"$100,000 or more",A102104,23
A102104_25,cty,No earnings in the past 12 months,A102104,25
A102105_5,cty,"Total, all industries",A102105,5
A102105_7,cty,"Agriculture, forestry, fishing and hunting, and mining",A102105,7
A102105_9,cty,Construction,A102105,9
A102105_11,cty,Manufacturing,A102105,11
A102105_13,cty,Wholesale trade,A102105,13
A102105_15,cty,Retail trade,A102105,15
A102105_17,cty,"Transportation and warehousing, and utilities",A102105,17
A102105_19,cty,Information,A102105,19
A102105_21,cty,"Finance, insurance, real estate and rental and leasing",A102105,21
A102105_23,cty,"Professional, scientific, management, administrative,  and waste management services",A102105,23
A102105_25,cty,"Educational, health and social services",A102105,25
A102105_27,cty,"Arts, entertainment, recreation, accommodation and food services",A102105,27
A102105_29,cty,Other services (except public administration),A102105,29
A102105_31,cty,Public administration,A102105,31
A102105_33,cty,Armed forces,A102105,33
A102106_5,cty,"Total, means of transportation",A102106,5
A102106_7,cty,"Car, truck, or van -- Drove alone",A102106,7
A102106_9,cty,"Car, truck, or van -- In a 2-person carpool",A102106,9
