geo,cat,n,pct
cty,0-15%,1336,89.424
cty,15.1-30%,93,6.225
cty,30.1-60%,45,3.012
cty,60.1+%,20,1.339
powpuma,0-15%,2856,86.024
powpuma,15.1-30%,291,8.765
powpuma,30.1-60%,109,3.283
powpuma,60.1+%,64,1.928
tad,0-15%,6323,49.468
tad,15.1-30%,3458,27.054
tad,30.1-60%,1883,14.732
tad,60.1+%,1118,8.747
taz,0-15%,20972,4.023
taz,15.1-30%,46631,8.946
taz,30.1-60%,87612,16.808
taz,60.1+%,366025,70.222
tract,0-15%,19574,8.212
tract,15.1-30%,29906,12.547
tract,30.1-60%,54880,23.026
tract,60.1+%,133984,56.215
